owning_agency_name,reporting_agency_name,submission_period,federal_account_symbol,federal_account_name,agency_identifier_name,budget_function,budget_subfunction,budget_authority_unobligated_balance_brought_forward,adjustments_to_unobligated_balance_brought_forward_cpe,budget_authority_appropriated_amount,borrowing_authority_amount,contract_authority_amount,spending_authority_from_offsetting_collections_amount,total_other_budgetary_resources_amount,total_budgetary_resources,obligations_incurred,deobligations_or_recoveries_or_refunds_from_prior_year,unobligated_balance,gross_outlay_amount,status_of_budgetary_resources_total,last_modified_date
Department of Energy,Department of Energy,FY2023P12,089-5068,"Construction, Rehabilitation, Operation, and Maintenance, Western Area Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,700195260.93,-3337314.69,618732000,0,0,1266215961.5,1266215961.5,2581805907.74,1242061284.87,662685.31,1339744622.87,1230171813.4,2581805907.74,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5069,"Emergency Fund, Western Area Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,500000,0,0,0,0,0,0,500000,0,0,500000,0,500000,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5105,"Payment to States Under Federal Power Act, Energy",Department of Energy,General Government,General purpose fiscal assistance,0,0,3357761,0,0,0,0,3357761,3357761,0,0,3357761,3357761,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5178,"Falcon and Amistad Operating and Maintenance Fund, Energy",Department of Energy,Energy,Energy supply,4830599.46,0,228000,0,0,6102000,6102000,11160599.46,6306950.88,0,4853648.58,5376635.29,11160599.46,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5227,"Nuclear Waste Disposal, Energy Programs, Energy",Department of Energy,Energy,Energy supply,22058526.94,10529,10205000,0,0,0,0,32274055.94,23607241.55,10529,8666814.39,14114423.53,32274055.94,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5231,"Uranium Enrichment Decontamination and Decommissioning Fund, Energy Programs, Energy",Department of Energy,Energy,Energy supply,9381475,8235652.86,262271894.82,0,0,616780105.18,616780105.18,896669127.86,887288323.27,8235652.86,9380804.59,916734406.03,896669127.86,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5369,"Northeast Home Heating Oil Reserve, Energy Programs, Energy",Department of Energy,Energy,Emergency energy preparedness,5592524.04,110000,7000000,0,0,0,0,12702524.04,6210172.28,110000,6492351.76,6091079.65,12702524.04,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5523,"Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Research Fund, Energy",Department of Energy,Energy,Energy supply,7149192.34,0,0,0,0,0,0,7149192.34,0,0,7149192.34,0,7149192.34,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5615,Energy Security and Infrastructure Modernization Fund,Department of Energy,Energy,Emergency energy preparedness,103385387.07,41329.53,0,0,0,0,0,103426716.6,4945923.96,41329.53,98480792.64,216405240.64,103426716.6,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5649,"Continuing Fund, Southwestern Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,300000,0,0,0,0,0,0,300000,0,0,300000,0,300000,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-5653,"Continuing Fund, Southeastern Power Administration, Power Marketing Administration, Energy",Department of Energy,Energy,Energy supply,50000,0,0,0,0,0,0,50000,0,0,50000,0,50000,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-8575,"Advances for Cooperative Work, Departmental Operations, Energy",Department of Energy,Energy,Energy supply,68467.57,0,0,0,0,0,0,68467.57,0,0,68467.57,0,68467.57,2023-11-15
Department of Energy,Department of Energy,FY2023P12,089-8576,"Gifts and Donations, Energy",Department of Energy,Energy,"Energy information, policy, and regulation",114202.97,0,31850,0,0,0,0,146052.97,31147.21,0,114905.76,15663.65,146052.97,2023-11-15
Selective Service System,Selective Service System,FY2023P12,090-0400,"Salaries and Expenses, Selective Service System",Selective Service System,National Defense,Defense-related activities,3890336.9,2020290.18,31700000,0,0,500000,500000,38110627.08,35739009.63,849209.78,2371617.45,30850507.57,38110627.08,2023-11-15
Department of Education,Department of Education,FY2023P12,091-0013,"Hurricane Education Recovery, Office of Elementary and Secondary Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",1334261486.33,16068857.63,0,0,0,0,0,1350330343.96,0,16068857.63,1350330343.96,34649950.14,1350330343.96,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0101,"Indian Education, Office of Elementary and Secondary Education,  Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",20535935.07,-2036242.69,194745999.71,0,0,0,0,213245692.09,207943039.92,2686611.65,5302652.17,185035640.45,213245692.09,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0102,"Impact AID, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",4371213.62,432112571.73,1618112000,0,0,0,0,2054595785.35,2027120648.94,432266148.26,27475136.41,1734458122.02,2054595785.35,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0200,"Student Financial Assistance, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,16352638792.48,2877321841.59,30440053710,0,0,0,0,49670014344.07,37331662832.94,2927709607.1,12338351511.13,31274822839.3,49670014344.07,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0201,"Higher Education, Department of Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,259464080.66,14492618.29,3766762615,0,0,0,0,4040719313.95,3630528309.03,43745684.93,410191004.92,2991860835.61,4040719313.95,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0202,"Student and Administration, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,77134178.25,95826294.19,2094959205,0,0,473358.32,473358.32,2268393035.76,2190740166.46,103439975.42,77652869.3,2085484570.23,2268393035.76,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0203,"Safe Schools and Citizenship Education,  Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",474596500.47,-3738701.86,657000000,0,0,0,0,1127857798.61,564527449.86,9488781.83,563330348.75,252741077.59,1127857798.61,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0204,"Innovation and Improvement, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",339956629.25,58015942.55,1453443000,0,0,52500000,52500000,1903915571.8,1390070588.95,86171833.39,513844982.85,1051161558.67,1903915571.8,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0206,"Teach Grant Program Account,  Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,15063865,-6225123,70813400,0,0,0,0,79652142,70813400,2685480,8838742,65460156,79652142,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0230,"Guaranteed Student Loans, Liquidating Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,2750008.77,1342181.97,50000000,0,0,16292136.57,16292136.57,70384327.31,37396605.37,4092190.74,32987721.94,34376261.7,70384327.31,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0231,"Federal Family Education Loan Program Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,3,0,12007038581,0,0,0,0,12007038584,12007038581,0,3,12007038581,12007038584,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0240,"Higher Education Facilities Loans and Insurance,  Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,757143.94,-757143.94,0,0,0,759900,759900,759900,111972,0,647928,100000,759900,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0241,"College Housing and Academic Facilities Loans Program,  Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,40288.5,-307.64,2859735,0,0,0,0,2899715.86,2849930.07,9523.08,49785.79,2867799.16,2899715.86,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0242,"College Housing and Academic Facilities Loans, Liquidating Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,3465205.41,-3465205.41,0,0,0,1495501.86,1495501.86,1495501.86,0,0,1495501.86,0,1495501.86,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0243,"Federal Direct Student Loan Program, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,1100870486,81807839.5,145913901759,0,0,0,0,147096580084.5,145913903725.5,327404325.5,1182676359,143332506439.53,147096580084.5,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0247,"Health Education Assistance Loans Program Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,0,0,11759354,0,0,0,0,11759354,11759354,0,0,11759354,11759354,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0248,"Iraq and Afghanistan Service Grants Program, Office of Federal Student AID, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,41629.13,23182.49,636923.78,0,0,0,0,701735.4,646941.44,26351.11,54793.96,637286.85,701735.4,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0249,"Information Technology System Modernization and Working Capital Fund, Departmental Management, Education",Department of Education,"Education, Training, Employment, and Social Services",Research and general education aids,0,29281000,0,0,0,0,0,29281000,22548399.67,0,6732600.33,4312890.55,29281000,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0251,"Education Stabilization Fund, Department of Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",407784064.48,14240368.46,-388122046.83,0,0,0,0,33902386.11,4500010.92,14240368.46,29402375.19,64529803742.84,33902386.11,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0300,"Special Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",16912085.24,46249397.43,15453264000,0,0,0,0,15516425482.67,15459692713.26,52401414.04,56732769.41,15346275326.58,15516425482.67,2023-11-16
Department of Education,Department of Education;Department of the Interior,FY2023P12,091-0301,"Rehabilitation Services, Education",Department of Education,"Education, Training, Employment, and Social Services",Social services,419163072.55,133749199.83,3867772701,0,0,0,0,4420684973.38,3826722426.91,216104659.99,593962546.47,3582796252.74,4420684973.38,2023-11-16
Department of Education,Department of Education;Department of the Interior,FY2023P12,091-0400,"Career, Technical, and Adult Education, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",24702664.16,24654242.15,2191436000,0,0,250000,250000,2241042906.31,2170474945.3,29422523.65,70567961.01,2033833593.01,2241042906.31,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0600,"American Printing House for the Blind, Special Institutions for Persons with Disabilities, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",0,91651.52,43431000,0,0,0,0,43522651.52,43431000,91651.52,91651.52,41204462.67,43522651.52,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0601,"National Technical Institute for the Deaf, Special Institutions for Persons with Disabilities, Department of Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,645331,2168973.24,92500000,0,0,0,0,95314304.24,93145331,2168973.24,2168973.24,100855279.91,95314304.24,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0602,"Gallaudet University, Special Institutions for Persons with Disabilities, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,0,0,165361000,0,0,0,0,165361000,165361000,0,0,156562992.54,165361000,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0603,"Howard University,  Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,0,0,354018000,0,0,0,0,354018000,354018000,0,0,261968768,354018000,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0700,"Office for Civil Rights, Departmental Management, Education",Department of Education,Administration of Justice,Federal law enforcement activities,2373959.47,698286.46,140000000,0,0,4340.4,4340.4,143076586.33,140748017.12,2964488.63,2328569.21,141485789,143076586.33,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0800,"Program Administration, Departmental Management,  Education",Department of Education,"Education, Training, Employment, and Social Services",Research and general education aids,20216497.73,8013571.89,424337969.73,0,0,3748160.89,3748160.89,456316200.24,439230513.62,7005204.85,17085686.62,456707521.85,456316200.24,2023-11-16
Department of Education,Department of Education,FY2023P12,091-0900,"Education for the Disadvantaged, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",240267077.07,-15386863.44,19087529385,0,0,0,0,19312409598.63,19089674571.42,17302623.86,222735027.21,17915744292.71,19312409598.63,2023-11-16
Department of Education,Department of Education;Department of the Interior,FY2023P12,091-1000,"School Improvement Programs,  Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",157865784.56,22497077.15,5810566464.32,0,0,0,0,5990929326.03,5859541112.36,33095963.38,131388213.67,5662987201.14,5990929326.03,2023-11-16
Department of Education,Department of Education,FY2023P12,091-1100,"Institute of Education Sciences, Department of Education",Department of Education,"Education, Training, Employment, and Social Services",Research and general education aids,249296788.51,14129924.51,763186814.32,0,0,543072.89,543072.89,1027156600.23,781433512.75,16919249.91,245723087.48,732337150.24,1027156600.23,2023-11-16
Department of Education,Department of Education,FY2023P12,091-1300,"English Language Acquisition, Education",Department of Education,"Education, Training, Employment, and Social Services","Elementary, secondary, and vocational education",15315087.6,-391440.94,890000000,0,0,0,0,904923646.66,887246511.17,1061488.65,17677135.49,832179781.91,904923646.66,2023-11-16
Department of Education,Department of Education,FY2023P12,091-1400,"Office of the Inspector General, Departmental Management, Education",Department of Education,Administration of Justice,Federal law enforcement activities,14993202.73,167262.72,67500000,0,0,19816.48,19816.48,82680281.93,71665806.06,1546513.82,11014475.87,72332994.66,82680281.93,2023-11-16
Department of Education,Department of Education,FY2023P12,091-1901,"Historically Black College and University Capital Financing Program Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,418092796.72,-10738378.09,83099167,0,0,0,0,490453585.63,79347933.89,5553346.33,411105651.74,71212013.4,490453585.63,2023-11-16
Department of Education,Department of Education,FY2023P12,091-4250,"College Housing Loans, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,1593927.39,-1593927.39,0,0,0,258041.02,258041.02,258041.02,65912.44,0,192128.58,65912.44,258041.02,2023-11-16
Department of Education,Department of Education,FY2023P12,091-4257,"Federal Student Loan Reserve Fund, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,724815763.31,0,0,0,0,419373302.29,419373302.29,1144189065.6,580483806.38,0,563705259.22,580483806.38,1144189065.6,2023-11-16
Department of Education,Department of Education,FY2023P12,091-4299,"Health Education Assistance Loans Liquidating Account, Education",Department of Education,"Education, Training, Employment, and Social Services",Higher education,1362803.03,-1362803.03,0,0,0,1147028.67,1147028.67,1147028.67,191926.3,0,955102.37,191926.3,1147028.67,2023-11-16
Department of Education,Department of Education,FY2023P12,091-8258,"Contributions,  Education",Department of Education,"Education, Training, Employment, and Social Services",Research and general education aids,1567133.05,709.18,381000,0,0,0,0,1948842.23,855818.66,709.18,1093023.57,916368.27,1948842.23,2023-11-16
Federal Mediation and Conciliation Service,Federal Mediation and Conciliation Service,FY2023P12,093-0100,"Salaries and Expenses, Federal Mediation and Conciliation Service",Federal Mediation and Conciliation Service,"Education, Training, Employment, and Social Services",Other labor services,13883656.69,33708.81,53705000,0,0,3270786.09,3270786.09,70893151.59,55185450.8,582034.67,15707700.79,50298449.44,70893151.59,2023-11-09
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3112,"Mississippi River and Tributaries, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,2061683895.39,16065661.9,370110000,0,0,16947138.02,16947138.02,2464806695.31,699228872,16065661.9,1765577823.31,739815738.3,2464806695.31,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3121,"Investigations, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,478263922.04,2151052.59,207500000,0,0,32818659.29,32818659.29,720733633.92,226745295.7,2151052.59,493988338.22,228947821.11,720733633.92,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3122,"Construction, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,35788944684.66,337605652.75,2361755587.95,0,0,3269169198.39,3269169198.39,41757475123.75,5410188048.73,337605652.75,36347287075.02,4823528759.81,41757475123.75,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3123,"Operation and Maintenance, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,3891203081.46,142962727.82,4225104000,0,0,2354936468.42,2354936468.42,10614206277.7,5668184836.84,169728727.82,4946021440.86,4973074549.89,10614206277.7,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3124,"Expenses, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,79640806.37,29515453.08,223104000,0,0,1602808.33,1602808.33,333863067.78,251479447,4095737.23,82383620.78,250102741.1,333863067.78,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3125,"Flood Control and Coastal Emergencies, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,1743400142.41,80566036.82,554200000,0,0,3274660211.42,3274660211.42,5652826390.65,2886050109.45,80566036.82,2766776281.2,1474071361.63,5652826390.65,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3126,"Regulatory Program, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,188841647.47,567997.58,218000000,0,0,19254540.78,19254540.78,426664185.83,266706592.81,584819.36,159957593.02,265442292.35,426664185.83,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3128,"Washington Aqueduct Capital Improvements, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,3995.06,50150976.74,0,0,0,147860070.49,147860070.49,198015042.29,111642954.64,4515973.87,86372087.65,71510017.04,198015042.29,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3130,"Formerly Utilized Sites Remedial Action Program, Corps of Engineers-Civil",Corps of Engineers - Civil Works,National Defense,Atomic energy defense activities,182087584.44,6817519.68,400000000,0,0,-31608.25,-31608.25,588873495.87,284970970.15,6817519.68,303902525.72,188252427.68,588873495.87,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3132,"Office of Assistant Secretary of the Army for Civil Works, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,566480.6,212372.59,5000000,0,0,0,0,5778853.19,5000000,278338.25,778853.19,5634831.86,5778853.19,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-3139,"Water Infrastructure Finance and Innovation Program Account, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,91503680.52,40411.74,7200000,0,0,0,0,98744092.26,4278134.26,40411.74,94465958,3920038.01,98744092.26,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-4902,"Revolving Fund, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,941346116.21,100684559.77,0,0,0,11328026388.39,11328026388.39,12370057064.37,11683703589.59,100684559.77,686353474.78,11217056301.55,12370057064.37,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5007,"Special Recreation Use Fees, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5066,"Hydraulic Mining in California, Debris Fund, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,295706.06,0,137308.4,0,0,0,0,433014.46,0,0,433014.46,0,433014.46,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5090,"Payments to States, Flood Control Act of 1954, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,2232.99,-2232.99,18026550.67,0,0,0,0,18026550.67,18026550.67,0,0,18026550.67,18026550.67,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5125,"Maintenance and Operation of Dams and Other Improvements of Navigable Waters, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,38769615.05,221.22,12680937.73,0,0,0,0,51450774,14370116.4,221.22,37080657.6,6782987.01,51450774,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5493,"Fund for Non-Federal Use of Disposal Facilities, Corps of Engineers",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5570,"Interagency America the Beautiful Pass Revenues, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Recreational resources,3321013.56,91590.14,1779854.99,0,0,0,0,5192458.69,2282570.81,91590.14,2909887.88,2810720.98,5192458.69,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-5607,"Special Use Permit Fees, Corps of Engineers-Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Recreational resources,2484653.27,35133.95,930657.6,0,0,0,0,3450444.82,1494918.88,35133.95,1955525.94,1469104.14,3450444.82,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-8217,"South Dakota Terrestrial Wildlife Habitat Restoration Trust Fund, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Other natural resources,8409650.14,0,2522508.25,0,0,0,0,10932158.39,3000000,0,7932158.39,3000000,10932158.39,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-8333,"Coastal Wetlands Restoration Trust Fund, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,383644435,16735569.71,94378658,0,0,0,0,494758662.71,76215781.36,16735569.71,418542881.35,61463440.06,494758662.71,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-8861,"Inland Waterways Trust Fund - Treasury Managed, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0,41398292.13,26412.05,0,0,0,0,41424704.18,41424704.18,0,0,41424704.18,41424704.18,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-8862,"Rivers and Harbors Contributed and Advance Funds, Corps of Engineers, Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,1626430657.38,15248066.7,822003853.63,0,0,12210636.97,12210636.97,2475893214.68,849987686.78,15248066.7,1625905527.9,439531413.12,2475893214.68,2024-01-30
Corps of Engineers - Civil Works,Corps of Engineers - Civil Works,FY2023P12,096-8863,"Harbor Maintenance Trust Fund - Treasury Managed, Corps of Engineers - Civil",Corps of Engineers - Civil Works,Natural Resources and Environment,Water resources,0,134948460.17,2318000000,0,0,0,0,2452948460.17,2452948460.17,0,0,1296872557.34,2452948460.17,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0040,"Payments to Military Retirement Fund, Defense",Department of Defense,National Defense,Defense-related activities,0,0,120438000000,0,0,0,0,120438000000,120438000000,0,0,120438000000,120438000000,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0041,"Concurrent Receipt Accrual Payments to the Military Retirement Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,0,0,10612441000,0,0,0,0,10612441000,10612441000,0,0,10612441000,10612441000,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0100,"Operation and Maintenance, Defense-Wide, Defense",Department of Defense,National Defense,Department of Defense-Military,15622333179.08,-4124358587.88,65794275451,0,0,1851741420.53,1851741420.53,79143991462.73,66758665145.5,2985604890.29,12385326317.23,61251053972.32,79143991462.73,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0104,"United States Court of Appeals for the Armed Forces, Defense",Department of Defense,National Defense,Department of Defense-Military,447961.51,776015.75,16003000,0,0,0,0,17226977.26,16431339.12,930817.66,795638.14,16343777.56,17226977.26,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0105,"Drug Interdiction and Counter-Drug Activities, Defense",Department of Defense,National Defense,Department of Defense-Military,116441000,-116441000,0,0,0,0,0,0,0,0,0,0,0,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0107,"Office of the Inspector General, Defense",Department of Defense,National Defense,Department of Defense-Military,29897736.43,2194109.91,492025000,0,0,2132694,2132694,526249540.34,504294587.04,14373021.25,21954953.3,458534081.39,526249540.34,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0111,"Department of Defense Acquisition Workforce Development Account, Defense",Department of Defense,National Defense,Department of Defense-Military,57516588.03,52087219.97,111791000,0,0,-299994.53,-299994.53,221094813.47,130519973.24,52797704,90574840.23,105009385.82,221094813.47,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0118,"Overseas Contingency Operations Transfer Fund, Defense",Department of Defense,National Defense,Department of Defense-Military,9972184,0,0,0,0,0,0,9972184,0,0,9972184,0,9972184,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0130,"Defense Health Program, Defense",Department of Defense,National Defense,Department of Defense-Military,3763415704.94,1106698842.54,39038399578,0,0,4268999319.26,4268999319.26,48177513444.74,44019526644.76,1852270542.12,4157986799.98,41717573316.36,48177513444.74,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0134,"Cooperative Threat Reduction Account, Defense",Department of Defense,National Defense,Department of Defense-Military,280018520.17,35882003.73,351598000,0,0,-100833.66,-100833.66,667397690.24,440844160.45,46646451.1,226553529.79,362611757.13,667397690.24,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0300,"Procurement, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,2157685745.44,549254376.09,6151702156,0,0,597796548.04,597796548.04,9456438825.57,6678646838.69,629472533.45,2777791986.88,6333890475.88,9456438825.57,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0350,"National Guard and Reserve Equipment Account, Defense",Department of Defense,National Defense,Department of Defense-Military,1042874179.76,120791763.68,1000000000,0,0,1385.92,1385.92,2163667329.36,991162533.66,155368557.68,1172504795.7,772560987.23,2163667329.36,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0360,"Defense Production Act Purchases, Defense",Department of Defense,National Defense,Department of Defense-Military,1143730327.77,151818511.96,372906000,0,0,0,0,1668454839.73,688373697.58,5818511.96,980081142.15,277904148.57,1668454839.73,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0361,Defense Production Act Program Account. Defense,Department of Defense,National Defense,Department of Defense-Military,84419299.13,364221.53,-61381230,0,0,0,0,23402290.66,1208100.85,364221.53,22194189.81,4031787.19,23402290.66,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0390,"Chemical Agents and Munitions Destruction, Defense",Department of Defense,National Defense,Department of Defense-Military,37795480.86,2778772.83,1059818000,0,0,4146.14,4146.14,1100396399.83,1080008855.43,5313421.25,20387544.4,1023986938.11,1100396399.83,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0391,"Chemical Demilitarization Construction, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,70.01,2531.98,0,0,0,0,0,2601.99,2601.98,2601.98,0.01,310986.15,2601.99,2024-01-30
Department of Defense,Department of Defense,FY2023P12,097-0400,"Research, Development, Test, and Evaluation, Defense-Wide",Department of Defense,National Defense,Department of Defense-Military,6043356220.68,463859896.07,35180596508,0,0,931792646.87,931792646.87,42619605271.62,35077529188.6,870355981.54,7542076083.02,31616819289.35,42619605271.62,2024-01-30
